"COD_PED","COD_LINHA","DESC","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Total Geral","LATITUDE","LONGITUDE"
3374340,"90","Avenida Doutor Jos‚ Mariano, 1320",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03382663,-44.22732589
3374342,"90","Avenida Doutor Jos‚ Mariano, 1736B",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.0345879,-44.2239934
3374343,"90","Avenida Doutor Jos‚ Mariano, 1736B",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03465342,-44.2239797
3374344,"90","Rua Padre DamiÆo, 165",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03653666,-44.2235706
3374352,"90","Rua Miguel Pereira, 518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.04231236,-44.21158064
3374353,"90","Rua Miguel Pereira, 590",NA,NA,NA,NA,NA,6,NA,11,NA,3,1,1,NA,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.04241773,-44.21151299
3374355,"90","Rua Miguel Pereira, 475",NA,NA,NA,NA,NA,5,NA,5,NA,4,2,7,3,1,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.04112172,-44.21348064
3374356,"90","Rua Miguel Pereira, 435",NA,NA,NA,NA,NA,3,NA,2,NA,1,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.04114956,-44.21334306
3374357,"90","Rua Miguel Pereira, 288",NA,NA,NA,NA,NA,2,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-20.03957172,-44.21704822
3374358,"90","Rua Miguel Pereira, 257",NA,NA,NA,NA,NA,4,NA,6,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.0394314,-44.2185174
3374359,"90","Rua Miguel Pereira, 257",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03954281,-44.21853226
3374360,"90","Rua Emilo Ribas, 246",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03977906,-44.22053381
3374361,"90","Rua Ol vo Bilac, 138",NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.0389535,-44.22165069
3374362,"90","Rua Emilo Ribas, 41",NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.03811948,-44.22020156
3374363,"90","Rua Emilo Ribas, 41",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03811221,-44.22030766
3374364,"90","Rua Emilo Ribas, 107",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03712196,-44.22012019
3374365,"90","Rua Emilo Ribas, 107",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03715181,-44.22005086
3374366,"90","Rua CapitÆo Mariano, 9",NA,NA,NA,NA,NA,2,NA,6,NA,NA,5,NA,NA,2,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.03556278,-44.21936807
3374367,"90","Rua Ol vo Bilac, 138",NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,-20.03880982,-44.2217458
3374368,"90","Rua Emilo Ribas, 221",NA,NA,NA,NA,NA,1,NA,NA,NA,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03950866,-44.22038964
3374370,"90","Rua Ana Neri, 121",NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.0405468,-44.22125838
3374734,"90","Avenida Edmeia Mattos Lazzarotti, 1011",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,1,16,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.96552713,-44.2033274
3374741,"90","Avenida Edmeia Mattos Lazzarotti, 1515",NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,2,4,15,NA,7,NA,NA,NA,NA,NA,NA,NA,-19.96145529,-44.19959691
3374751,"90","Rua Xingu, 25",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.97163162,-44.20313708
3374759,"90","Rua Rio de Janeiro, 93",NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,1,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,-19.97024439,-44.2023085
3374760,"90","Avenida SebastiÆo Dayrell de Lima, 371",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.97711861,-44.20014928
3374765,"90","Avenida Governador Valadares, 66",NA,NA,NA,NA,NA,1,NA,2,NA,13,6,NA,2,4,4,13,NA,2,2,NA,NA,NA,NA,NA,NA,-19.9675393,-44.20123944
3374768,"90","MG-060, 140",NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,2,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,-19.9662439,-44.19444121
3374769,"90","Rua Rio de Janeiro, 304",NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96896003,-44.20072885
3374771,"90","Avenida Amazonas, 392",NA,NA,NA,NA,NA,2,NA,6,NA,1,3,NA,NA,1,NA,12,NA,4,NA,NA,NA,NA,NA,NA,NA,-19.96535105,-44.19677591
3374773,"90","Avenida das Am‚ricas, 281",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,-19.96768864,-44.19190446
3374774,"90","Avenida das Am‚ricas, 35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,-19.97227604,-44.19106733
3374776,"90","Avenida das Am‚ricas, 555",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.96999559,-44.1914622
3374777,"90","Avenida das Am‚ricas, 908",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.97296958,-44.19097406
3374778,"90","Avenida das Am‚ricas, 841",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.97423414,-44.19031916
3374783,"90","Avenida Juscelino Kubitschek, 900",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,-19.97413672,-44.19560538
3374786,"90","Avenida das Am‚ricas, 280",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96805401,-44.19207348
3374793,"90","Avenida Amazonas, 206",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,-19.96492767,-44.19497212
3374825,"90","Pra‡a Hor cio Borges, 207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.9598418,-44.1888075
3374828,"90","Avenida Bandeirantes, 77",NA,NA,NA,NA,NA,3,NA,5,NA,2,NA,NA,2,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.96422327,-44.19220605
